id,date,primary_type,latitude,longitude,community_area,lat,lon,cluster,rank,tipo_ponto
27787,2023-10-07T09:45:00.000,HOMICIDE,41.748359774,-87.633026449,44,41.748359774,-87.633026449,2,1,top 1
27785,2023-10-06T18:55:00.000,HOMICIDE,41.708059363,-87.648944456,73,41.708059363,-87.648944456,11,8,top 8
27784,2023-10-06T17:09:00.000,HOMICIDE,41.86625461,-87.718967674,29,41.86625461,-87.718967674,1,2,top 2
27783,2023-10-06T02:41:00.000,HOMICIDE,41.795815172,-87.671152128,61,41.795815172,-87.671152128,2,1,top 1
27782,2023-10-06T02:40:00.000,HOMICIDE,41.795815172,-87.671152128,61,41.795815172,-87.671152128,2,1,top 1
27781,2023-10-06T01:40:00.000,HOMICIDE,41.879413315,-87.702269667,27,41.879413315,-87.702269667,1,2,top 2
27780,2023-10-04T00:05:00.000,HOMICIDE,41.87689123,-87.62997995,32,41.87689123,-87.62997995,7,4,top 4
27779,2023-10-03T19:47:00.000,HOMICIDE,41.829614746,-87.622652971,35,41.829614746,-87.622652971,2,1,top 1
27777,2023-10-03T11:26:00.000,HOMICIDE,41.880455965,-87.748370162,25,41.880455965,-87.748370162,1,2,top 2
27778,2023-10-02T08:59:00.000,HOMICIDE,41.931233537,-87.769401694,19,41.931233537,-87.769401694,1,2,top 2
27774,2023-10-01T15:43:00.000,HOMICIDE,41.880356034,-87.70203272,27,41.880356034,-87.70203272,1,2,top 2
27775,2023-10-01T14:25:00.000,HOMICIDE,41.880356034,-87.70203272,27,41.880356034,-87.70203272,1,2,top 2
27776,2023-10-01T07:37:00.000,HOMICIDE,41.901216963,-87.663151087,24,41.901216963,-87.663151087,0,NA,ruído
27773,2023-10-01T00:12:00.000,HOMICIDE,41.917052987,-87.735547416,20,41.917052987,-87.735547416,1,2,top 2
27772,2023-09-30T00:09:00.000,HOMICIDE,41.859038658,-87.709562184,29,41.859038658,-87.709562184,1,2,top 2
27771,2023-09-29T17:22:00.000,HOMICIDE,41.682334926,-87.620651734,53,41.682334926,-87.620651734,2,1,top 1
27770,2023-09-28T20:03:00.000,HOMICIDE,41.857037418,-87.725299889,29,41.857037418,-87.725299889,1,2,top 2
27769,2023-09-27T13:00:00.000,HOMICIDE,41.753956352,-87.666393069,71,41.753956352,-87.666393069,2,1,top 1
27767,2023-09-27T00:23:00.000,HOMICIDE,41.688003027,-87.619494498,49,41.688003027,-87.619494498,2,1,top 1
27766,2023-09-26T21:30:00.000,HOMICIDE,41.780218151,-87.684889246,66,41.780218151,-87.684889246,2,1,top 1
27764,2023-09-26T15:51:00.000,HOMICIDE,41.812622771,-87.704150891,58,41.812622771,-87.704150891,2,1,top 1
27765,2023-09-26T15:10:00.000,HOMICIDE,41.773290792,-87.59049383,43,41.773290792,-87.59049383,2,1,top 1
27762,2023-09-24T10:55:00.000,HOMICIDE,41.793325992,-87.64270247,68,41.793325992,-87.64270247,2,1,top 1
27761,2023-09-24T01:09:00.000,HOMICIDE,41.729328717,-87.642212393,71,41.729328717,-87.642212393,2,1,top 1
27760,2023-09-23T11:02:00.000,HOMICIDE,41.745901647,-87.6560438,71,41.745901647,-87.6560438,2,1,top 1
27759,2023-09-21T18:22:00.000,HOMICIDE,41.753974914,-87.550179329,43,41.753974914,-87.550179329,2,1,top 1
27758,2023-09-21T14:32:00.000,HOMICIDE,41.720815746,-87.628640614,49,41.720815746,-87.628640614,2,1,top 1
27757,2023-09-20T21:01:00.000,HOMICIDE,41.814852289,-87.689503307,58,41.814852289,-87.689503307,2,1,top 1
27755,2023-09-19T08:08:00.000,HOMICIDE,41.746922888,-87.600211934,44,41.746922888,-87.600211934,2,1,top 1
27756,2023-09-19T06:40:00.000,HOMICIDE,41.866845456,-87.712996097,29,41.866845456,-87.712996097,1,2,top 2
27753,2023-09-19T04:21:00.000,HOMICIDE,41.707666202,-87.532869851,52,41.707666202,-87.532869851,10,10,top 10
27752,2023-09-19T00:31:00.000,HOMICIDE,41.74766347,-87.601874532,44,41.74766347,-87.601874532,2,1,top 1
27751,2023-09-18T21:04:00.000,HOMICIDE,41.766446231,-87.631026315,69,41.766446231,-87.631026315,2,1,top 1
27754,2023-09-18T18:36:00.000,HOMICIDE,41.752123141,-87.61979599,69,41.752123141,-87.61979599,2,1,top 1
27768,2023-09-18T08:49:00.000,HOMICIDE,41.917460118,-87.74745182,19,41.917460118,-87.74745182,1,2,top 2
27749,2023-09-15T17:08:00.000,HOMICIDE,41.712359904,-87.62009309,49,41.712359904,-87.62009309,2,1,top 1
27748,2023-09-14T20:11:00.000,HOMICIDE,41.880801316,-87.625438715,32,41.880801316,-87.625438715,7,4,top 4
27747,2023-09-14T09:50:00.000,HOMICIDE,41.768056979,-87.662691319,67,41.768056979,-87.662691319,2,1,top 1
27746,2023-09-13T22:33:00.000,HOMICIDE,41.70080589,-87.643858138,73,41.70080589,-87.643858138,11,8,top 8
27744,2023-09-12T23:34:00.000,HOMICIDE,41.937037115,-87.694891441,21,41.937037115,-87.694891441,0,NA,ruído
27743,2023-09-12T14:51:00.000,HOMICIDE,41.798154328,-87.730657461,57,41.798154328,-87.730657461,12,NA,cluster menor
27745,2023-09-11T06:43:00.000,HOMICIDE,41.737857562,-87.566031303,46,41.737857562,-87.566031303,2,1,top 1
