"koi_period","koi_time0bk","koi_duration","koi_depth","koi_model_snr","koi_impact","koi_ror","koi_srho","koi_num_transits","koi_fpflag_nt","koi_fpflag_ss","koi_fpflag_co","koi_fpflag_ec","koi_steff","koi_slogg","koi_srad","koi_smet","binary_class","id","dia","telescopio","id_formulario"
6.312508525,132.654418,2.7455,1286,112.5,0.029,0.032005,2.82876,215,0,0,0,0,4090,4.696,0.571,-0.18,"CONFIRMED",92,1,1,112
34.9897847,144.20912,4.208,498.5,11.5,0.034,0.020074,4.19621,40,0,0,0,0,3765,4.725,0.521,0.02,"CONFIRMED",93,1,1,112
6.98800953,132.56964,3.103,193.2,17.1,0.024,0.012445,2.04813,179,0,0,0,0,5353,4.358,1.023,0.16,"CONFIRMED",94,1,1,112
21.34736612,171.73531,4.184,630.5,53.1,0.885,0.027345,0.34883,65,0,0,0,0,5395,4.324,1.071,0.16,"CONFIRMED",95,1,1,112
2.382951591,135.080841,1.8876,391.6,41.4,0.479,0.018369,2.19197,515,0,0,0,0,5427,4.463,0.929,0.16,"CONFIRMED",96,1,1,112
41.7084063,153.53793,8.567,330,24.3,0.671,0.017621,0.2506,24,0,0,0,0,6434,4.394,1.138,-0.1,"CONFIRMED",97,1,1,112
5.0800579,174.42853,5.207,222.8,56.7,0.636,0.014349,0.15353,212,0,0,0,0,6049,3.769,2.52,-0.04,"CONFIRMED",98,1,1,112
19.94752741,144.2469,1.756,861.3,16,0.094,0.026742,33.2308,65,0,0,0,0,5749,4.547,0.864,-0.1,"CONFIRMED",99,1,1,112
37.5142128,189.30015,5.303,935,28.9,0.366,0.027815,1.88082,34,0,0,0,0,5291,4.489,0.882,0.14,"CONFIRMED",100,1,1,112
14.8444836,143.576,6.091,177.9,10.5,0.149,0.012341,0.55705,74,0,0,0,0,6642,4.057,1.846,-0.02,"CONFIRMED",101,1,1,112
11.427550984,137.613711,4.6074,500.9,165.5,0.608,0.021404,0.5464,116,0,0,0,0,5979,4.394,1.005,-0.34,"CONFIRMED",102,1,1,112
4.82051088,135.78541,3.588,40.9,14.8,0.922,0.00709,0.06351,282,0,0,0,0,6046,4.158,1.396,-0.16,"CONFIRMED",103,1,1,112
7.06117322,136.27344,1.0406,481.7,27.2,0.845,0.022906,10.14331,172,0,0,0,0,4042,4.761,0.49,-0.62,"CONFIRMED",104,1,1,112
10.10773789,135.1032,3.828,294.9,25.3,0.151,0.015476,1.54105,136,0,0,0,0,5480,4.26,1.174,0.16,"CONFIRMED",105,1,1,112
5.70940795,137.12208,1.622,586.7,20.2,0.751,0.024186,3.82217,176,0,0,0,0,4402,4.682,0.572,-0.58,"CONFIRMED",106,1,1,112
2.41660149,131.53713,1.9699,83.6,33.7,0.035,0.008255,2.74357,558,0,0,0,0,5705,4.444,1.026,0.34,"CONFIRMED",107,1,1,112
18.01019956,179.42137,3.516,177.7,43.4,0.966,0.01602,0.11002,56,0,0,0,0,5931,4.322,1.101,-0.24,"CONFIRMED",108,1,1,112
7.41084314,135.75425,3.245,124.1,25.6,0.064,0.010073,1.87677,178,0,0,0,0,5528,4.499,0.853,-0.2,"CONFIRMED",109,1,1,112
47.0563327,173.9653,4.807,762,12.1,0.361,0.025508,3.1585,25,0,0,0,0,5889,4.492,0.924,-0.16,"CONFIRMED",110,1,1,112
4.48559215,135.43172,0.8161,2265,15,0.442,0.04497,59.17312,298,0,0,0,0,3236,5.097,0.193,0,"CONFIRMED",111,1,1,112
7.650243513,171.972352,2.752,981.4,98.8,0.014,0.028274,3.3687,178,0,0,0,0,5409,4.609,0.746,-0.3,"CONFIRMED",112,1,1,112
16.84183355,137.99443,2.6194,822.1,23.6,0.688,0.027911,3.51751,78,0,0,0,0,5602,4.404,1.009,0.1,"CONFIRMED",113,1,1,112
160.88451966,277.504342,10.8771,7590.4,526.1,0.284,0.079769,1.19188,9,0,0,0,0,5650,4.313,1.044,-0.28,"CONFIRMED",114,1,1,112
20.73989406,173.21912,3.1505,616.1,44.2,0.777,0.025087,1.67173,47,0,0,0,0,5132,4.571,0.77,-0.06,"CONFIRMED",115,1,1,112
6.40087137,136.8824,2.5561,133.6,24.4,0.861,0.012298,0.49446,207,0,0,0,0,5426,4.107,1.421,0.16,"CONFIRMED",116,1,1,112
161.4746786,170.60338,10.572,828.2,47.8,0.746,0.028533,0.41011,7,0,0,0,0,5761,4.383,1.044,0,"CONFIRMED",117,1,1,112
99.2532336,148.53067,7.208,538,20.5,0.947,0.027854,0.1428,15,0,0,0,0,5010,4.623,0.715,-0.16,"CONFIRMED",118,1,1,112
3.88148385,135.12314,2.679,36.3,11.9,0.252,0.005515,1.57925,348,0,0,0,0,5854,4.469,0.979,0.06,"CONFIRMED",119,1,1,112
7.834433676,135.222143,2.89,2018.1,246.6,0.714,0.04418,1.21437,135,0,0,0,0,4920,4.62,0.72,0.07,"CONFIRMED",120,1,1,112
144.551628,265.9401,16.599,1035.2,27.1,0.887,0.034847,0.04049,10,0,0,0,0,5510,4.572,0.803,-0.16,"CONFIRMED",121,1,1,112
6.03355539,137.121,10.049,89.5,26.1,0.35,0.008535,0.04387,182,0,0,0,0,4924,3.356,3.588,-0.08,"CONFIRMED",122,1,1,112
4.8538404,135.09902,3.198,196.4,15.4,0.943,0.016263,0.07371,219,0,0,0,0,5778,4.483,0.968,0.14,"CONFIRMED",123,1,1,112
3.78861833,134.61419,2.808,143.4,18.2,0.183,0.010833,1.42473,285,0,0,0,0,5560,4.379,1.04,0.16,"CONFIRMED",124,1,1,112
41.8085031,148.70814,7.797,190.4,27.3,0.011,0.01252,0.77217,31,0,0,0,0,5794,4.263,1.225,0.07,"CONFIRMED",125,1,1,112
29.3493852,148.46564,4.313,659.2,20.3,0.75,0.02561,1.05666,47,0,0,0,0,4987,4.613,0.722,-0.12,"CONFIRMED",126,1,1,112
14.37457572,138.20189,4.7892,335.8,55.2,0.035,0.016643,1.15872,95,0,0,0,0,5768,4.358,1.067,-0.04,"CONFIRMED",127,1,1,112
7.81100952,132.30566,3.231,126.7,15.8,0.816,0.0116,0.42311,170,0,0,0,0,5395,4.324,1.071,0.16,"CONFIRMED",128,1,1,112
8.30783912,171.17201,3.1516,777.5,66.4,0.019,0.025018,2.41247,164,0,0,0,0,5320,4.589,0.786,-0.06,"CONFIRMED",129,1,1,112
65.9407869,231.97155,7.776,580.4,19.8,0.332,0.02222,1.06936,20,0,0,0,0,5982,4.493,0.96,-0.04,"CONFIRMED",130,1,1,112
2.144632238,133.984128,6.2701,19836.9,334.8,1.228,0.415349,0.04677,629,0,1,0,0,6296,4.24,1.305,-0.16,"CONFIRMED",131,1,1,112
4.885488596,134.2768785,5.16165,7458.4,2590.1,0.361,0.079898,0.32016,277,0,1,0,0,6036,3.968,1.909,0.1,"CONFIRMED",132,1,1,112
43.5859419,194.6107,4.6814,1708.7,38.9,0.011,0.037463,4.00084,31,0,0,0,0,3893,4.758,0.5,-0.28,"CONFIRMED",133,1,1,112
27.0142622,132.52245,5.385,287.6,25.5,0.009,0.015459,1.52782,40,0,0,0,0,5949,4.303,1.184,0,"CONFIRMED",134,1,1,112
29.19899219,185.440631,5.1227,2047.2,171,0.043,0.040459,2.05855,49,0,0,0,0,5376,4.462,0.94,0.28,"CONFIRMED",135,1,1,112
2.89223998,132.86232,2.521,44.3,17.3,0.017,0.006001,1.55876,407,0,0,0,0,5574,4.354,1.065,0.12,"CONFIRMED",136,1,1,112
1.44445234,132.80685,0.9753,200.7,20.9,0.162,0.012845,13.17877,925,0,0,0,0,5305,4.088,1.449,0.24,"CONFIRMED",137,1,1,112
47.903427,141.98347,6.191,379.3,34.1,0.918,0.02177,0.15488,28,0,0,0,0,5788,4.16,1.495,0.26,"CONFIRMED",138,1,1,112
3.016182013,133.88395,2.8349,222.5,31.9,0.732,0.014736,0.40067,449,0,0,0,0,5611,4.144,1.4,0.16,"CONFIRMED",139,1,1,112
16.34355902,145.04116,5.474,829.4,34,0.716,0.02826,0.33885,84,0,0,0,0,5730,4.394,1.056,0.16,"CONFIRMED",140,1,1,112
33.1362861,169.50676,4.163,825.2,16.3,0.791,0.029482,1.10741,37,0,0,0,0,4245,4.641,0.637,0,"CONFIRMED",141,1,1,112
0.962864171,132.12548,1.6802,303.5,31.6,0.736,0.017264,0.66163,1355,0,0,0,0,5704,4.575,0.804,-0.3,"CONFIRMED",142,1,1,112
20.0983676,207.57757,5.207,157.8,20.9,0.02,0.011476,1.24221,51,0,0,0,0,6053,4.279,1.26,0.06,"CONFIRMED",143,1,1,112
9.76293284,139.15802,3.064,553.2,23.6,0.499,0.021757,2.03307,137,0,0,0,0,5052,4.503,0.816,0.02,"CONFIRMED",144,1,1,112
6.18670882,136.63308,2.909,202.6,14.3,0.013,0.01265,2.20428,202,0,0,0,0,5114,4.463,0.878,0.16,"CONFIRMED",145,1,1,112
49.7700907,159.98658,10.065,3529.2,109.8,0.655,0.057313,0.2356,21,0,0,0,0,5774,4.567,0.818,-0.3,"CONFIRMED",146,1,1,112
36.292017,132.17691,8.198,374.7,21.4,0.002,0.01758,0.58571,36,0,0,0,0,5843,4.069,1.615,0.14,"CONFIRMED",147,1,1,112
41.74938613,153.84636,5.6098,1055.4,95,0.226,0.029414,2.02141,34,0,0,0,0,5506,4.473,0.914,0.04,"CONFIRMED",148,1,1,112
4.79860021,173.257466,3.0384,817.4,88.1,0.594,0.027166,0.85703,215,0,0,0,0,5631,4.557,0.847,-0.06,"CONFIRMED",149,1,1,112
572.376632,306.51006,24.42,1743.4,78.6,0.712,0.040914,0.14543,4,0,0,0,0,6226,4.264,1.299,0,"CONFIRMED",150,1,1,112
5.72084599,134.66576,2.744,1316,20.5,0.166,0.032418,2.47495,94,0,0,0,0,3640,4.744,0.503,0.21,"CONFIRMED",151,1,1,112
31.99552485,154.160745,4.2817,1376.1,128,0.69,0.036106,1.58753,41,0,0,0,0,5657,4.364,1.046,0,"CONFIRMED",152,1,1,112
8.71980135,139.52134,3.7454,160.4,22.7,0.343,0.011679,1.20992,111,0,0,0,0,5970,4.317,1.2,0.1,"CONFIRMED",153,1,1,112
6.73808701,133.32953,2.591,92.9,14.4,0.148,0.008644,3.24733,199,0,0,0,0,5168,4.566,0.769,-0.12,"CONFIRMED",154,1,1,112
3.336123113,135.31623,1.9616,516.3,41.6,0.252,0.020396,3.61764,386,0,0,0,0,5097,4.597,0.779,0.21,"CONFIRMED",155,1,1,112
8.37159554,137.68075,5.252,98,16.6,0.983,0.012311,0.00806,116,0,0,0,0,6426,4.013,1.775,-0.24,"CONFIRMED",156,1,1,112
0.53835407,131.64999,1.5045,190.2,46.6,0.334,0.012638,1.27468,1979,0,0,0,0,5539,4.244,1.207,0.14,"CONFIRMED",157,1,1,112
8.19596647,136.68736,2.824,792.8,20.2,0.252,0.025049,3.01443,77,0,0,0,0,4723,4.557,0.747,0.08,"CONFIRMED",158,1,1,112
