"EMPRESA";"Nome.da.Empresa.";"ano";"Open";"SETOR";"SUBSETOR";"SEGMENTO";"Idade_Segmento_Setor";"ROI_ADJ";"ROI_ADJ_2";"MARGEM.LÍQUIDA.value";"DIVIDEND.YIELD..DY..value";"P.L.value";"VPA.value";"LPA.value";"STATUS_GRAHAM";"DIF_GRAHAM";"PERATVNAOCOR";"Y";"metric_SEGMENTO_MARGEM.LÍQUIDA.value_Q50";"DIVIDEND.YIELD..DY..value_RANKSCORE";"classe_cap_v2";"DÍVIDA.BRUTA...PATRIMÔNIO.value"
"SAPR11";"CIA SANEAMENTO DO PARANA - SANEPAR";2024;17.3500003814697;"Utilidade Pública";"Água e Saneamento";"Água e Saneamento";50;66.9090920132493;3.14405176270429;23.890398655084;5.1916306954436;5.8684704185241;32.239824026212;4.9740388752511;1;38.9252818260075;0.541666666666667;NA;9.4732229307089;36.7521918508141;"Null";0.59293323207652
"MTSA4";"METISA";2023;42.6399993896484;"Bens Industriais";"Máquinas e Equipamentos";"Máq. e Equip. Construção e Agrícolas";74;14.701110205936;38.2148317500417;11.491072099371;5.704407951599;4.4327006189387;43.599721720848;10.440587799291;1;60.9978339071782;0.262337662337662;12.1023209184731;11.491072099371;46.5310477378465;"Null";0.13413348902748
"TASA4";"TAURUS ARMAS";2024;13.0500001907349;"Bens Industriais";"Máquinas e Equipamentos";"Armas e Munições";97;23.0393837467846;-33.6962159381663;8.5748567246802;9.1817105263158;12.597637320837;8.6217071100898;1.2065754564039;1;0.221976856788732;0.1640625;NA;8.5748567246802;98.4210526315787;"Null";0.48449768960574
"VAMO3";"Vamos";2023;11.8190851211548;"Consumo Cíclico";"Diversos";"Aluguel de carros";49;7.99932001766869;NA;13.608443813067;2.0683702531646;20.876200275425;3.2951363232778;0.60547416834661;0;-6.12113810902662;0.257142857142857;-16.2273794780312;9.19014832443105;10.9075968328478;"Null";2.0564423314738
"NGRD3";"NEOGRID PARTICIPAÇÕES S.A.";2023;2.66000008583069;"Tecnologia da Informação";"Programas e Serviços";"Programas e Serviços";39;-42.3483868883792;-62.8041242995203;5.3545961851795;0.99762281879195;24.989942315531;1.9144872608407;0.059623987169991;0;-0.478109409993992;0.537662337662338;-14.9241830872902;2.1642644703729;70.5488472637948;"Null";0.14595680606501
"MULT3";"MULTIPLAN";2024;21.7700004577637;"Financeiro";"Exploração de Imóveis";"Exploração de Imóveis";61;33.2773509096076;20.2605013751813;50.27619164463;3.5056588030612;16.73244942375;11.54202660085;1.69849609464;0;-4.60135891228926;0.169270833333333;NA;54.1240765201065;87.0906731357931;"Null";0.45663367656005
"USIM6";"USIMINAS";2024;13.4799995422363;"Materiais Básicos";"Siderurgia e Metalurgia";"Siderurgia";82;12.6854606544244;-24.3855123265088;5.4055761434954;0;12.740374006715;19.037624877551;1.1922726908954;1;7.1381178132773;0.227154046997389;NA;5.4055761434954;0;"Null";0.24799617700629
"ENMA3B";NA;2023;NA;NA;NA;NA;NA;NA;NA;13.384007334721;0;0;19.258708233095;3.9477072019281;NA;NA;NA;NA;7.3319873888246;0;"Null";0.68828704889673
"WLMM3";NA;2023;34;"Bens Industriais";"Comércio";"Material de Transporte";73;-31.1034454172366;56.2239545454545;5.940535391151;5.6612604651163;6.6746435373454;17.081324505319;3.2211458004769;1;8.87473304216537;0.412987012987013;7.83609573921202;5.8396914949426;0;"Null";0.090456599642129
"PDTC3";NA;2024;3.02999997138977;"Tecnologia da Informação";"Programas e Serviços";"Programas e Serviços";40;0.980391240220748;-56.2857151031494;4.1805108398181;0;15.932079695063;1.919475498727;0.19394831429054;1;0.280994601858651;0.182291666666667;NA;-1.3186161691186;0;"Null";0.86146584502426
"PNVL3";NA;2023;13.3900003433228;"Saúde";"Comércio e Distribuição";"Medicamentos e Outros Produtos";103;-21.6832394733472;-37.5886463948984;2.163677256467;2.1906300788955;17.660528694826;7.3692015306068;0.57416174652634;0;-1.87642835967827;0.220779220779221;33.6389317851436;2.9176567303849;46.3867502296168;"Null";0.78647345785183
"SQIA3";"SINQIA S.A";2024;NA;NA;NA;NA;NA;NA;NA;2.7235624651241;0.44240186294079;78.723516328767;7.3947170527402;0.19092134981917;NA;NA;NA;NA;2.7235624651241;7.50210165133984;"Null";0.47428441379904
"USIM3";"USIMINAS";2024;7.3899998664856;"Materiais Básicos";"Siderurgia e Metalurgia";"Siderurgia";82;27.4052299744169;-41.2133654920854;5.4055761434954;3.2486847826087;7.7163555537707;19.037624877551;1.1922726908954;1;15.2019080115727;0.231770833333333;NA;5.4055761434954;22.1891300246097;"Null";0.24799617700629
"WHRL3";"WHIRLPOOL";2023;6.71000003814697;"Consumo Cíclico";"Utilidades Domésticas";"Eletrodomésticos";96;-24.8488115752152;0.4153982721036;3.8592077216197;3.9142259414226;17.237630533184;1.4482907022758;0.27730029314633;0;-2.34484320976619;0.561038961038961;-0.213429203837;2.6720673841105;54.7474333216597;"Null";0.51566917271124
"TKNO3";"TEKNO S.A.";2024;83.2128372192383;"Materiais Básicos";"Siderurgia e Metalurgia";"Artefatos de Ferro e Aço";122;0;11.143275949583;12.996375598818;0;4.5324625107314;97.48339023989;12.249411852508;1;80.700461222686;NA;NA;3.6690524201153;0;"Null";0.0083970448526776
"IGSN3";NA;2023;NA;"Utilidade Pública";"Água e Saneamento";"Água e Saneamento";49;NA;NA;-28.092683979556;0;0;7.3511067242883;-1.3723186646687;NA;NA;NA;NA;10.0891224824614;0;"Null";2.0576541988199
"NEOE3";"NEOENERGIA";2024;15.3999996185303;"Utilidade Pública";"Energia Elétrica";"Energia Elétrica";111;43.5452012199526;0.53963732288388;10.060212434883;5.422221180881;5.8064185770724;24.605427347286;3.6752431325334;1;27.6810307708451;0.174479166666667;NA;12.244100391755;25.419364548984;"Null";1.5362954530235
